poblacion,fecha,hora,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud
Galdakao,2007-12-11,20:57:49,Amarillo,A-8,94,97,CANTABRIA,-2.69917,43.20269
Iurreta,2007-12-11,11:54:39,Blanco,BI-623,28,28,DURANGO,-2.64386,43.17552
Muskiz,2007-12-11,09:27:22,Blanco,A-8,139,139,IRUN,-3.1511,43.34147
Arrigorriaga,2007-12-11,09:18:37,Blanco,AP-68,2,2,BILBAO,-2.90963,43.21954
Muskiz,2007-12-11,09:27:22,Amarillo,A-8,139,139,IRUN,-3.1511,43.34147
Arrigorriaga,2007-12-11,09:18:37,Blanco,AP-68,2,2,BILBAO,-2.90963,43.21954
Orozko,2007-12-11,08:44:47,Blanco,AP-68,21,21,BILBAO,-2.91702,43.07784
Iurreta,2007-12-10,08:54:30,Blanco,BI-623,28,28,DURANGO,-2.64386,43.17552
Galdakao,2007-12-11,00:09:45,Blanco,A-8,105,105,CANTABRIA,-2.815033,43.2323
Basauri,2007-12-10,23:05:18,Blanco,A-8,111,113,CANTABRIA,-2.883459,43.231
Basauri,2007-12-10,23:05:18,Blanco,A-8,111,113,IRUN,-2.88343,43.2309
Bilbao,2007-12-10,09:39:45,Blanco,BI-3742,7,7,KASTRESANA,-2.97196,43.2617
,2007-12-10,08:54:30,Blanco,BI-623,28,28,DURANGO,-2.64386,43.17552
,2007-12-10,08:41:08,Blanco,AP-68,20,20,BILBAO,-2.915015,43.08647
Santurtzi,2007-12-10,00:10:38,Blanco,N-644,131,131,Bilbao,-3.047636,43.33763
Santurtzi,2007-12-10,00:10:38,Blanco,N-644,131,131,Bilbao,-3.047636,43.33763
Erandio,2007-12-09,23:10:23,Blanco,N-637,10,10,Barakaldo,-2.973928,43.29555
Amorebieta-Etxano,2007-12-07,17:58:30,Rojo,N-634,94,94,DONOSTIA/SAN SEBASTIN,-2.75988,43.22977
Amorebieta-Etxano,2007-12-07,17:58:30,Rojo,N-634,94,94,DONOSTIA/SAN SEBASTIN,-2.75988,43.22977
,2007-12-07,11:06:44,Amarillo,N-634,94,94,DONOSTIA/SAN SEBASTIN,-2.75988,43.22977
Bilbao,2007-06-25,10:30:04,Blanco,BI-3742,6,7,KASTRESANA,-2.97362,43.26924
Erandio,2007-06-21,22:55:12,Blanco,BI-604,4,5,ASUA,-2.95606,43.27935
Abadio,2007-02-14,09:31:51,Blanco,BI-3323,31,31,ABADIO,-2.61036,43.16851
Derio,2007-12-05,11:06:09,Amarillo,N-633,11,11,AEROPUERTO DE LOIU,-2.88199,43.29738
Erandio,2007-12-05,11:06:09,Amarillo,N-637,11,11,Barakaldo,-2.965278,43.30067
,2007-12-05,08:44:10,Amarillo,BI-636,32,32,CADAGUA,-3.20354,43.18559
Muskiz,2007-12-05,00:31:29,Blanco,A-8,137,137,IRUN,-3.12723,43.3419
,2007-12-04,22:55:20,Blanco,BI-636,8,8,BILBAO,-2.982984,43.2456
Durango,2007-12-04,22:31:09,Blanco,N-634,78,78,SANTANDER,-2.60349,43.1641
,2007-12-04,22:31:09,Blanco,N-634,78,78,SANTANDER,-2.60349,43.1641
Muskiz,2007-12-04,18:31:24,Amarillo,A-8,139,139,CANTABRIA,-3.15105,43.34158
Muskiz,2007-12-04,18:31:24,Blanco,A-8,139,139,CANTABRIA,-3.15105,43.34158
Orozko,2007-12-04,08:38:22,Amarillo,AP-68,21,21,BILBAO,-2.91702,43.07784
Bilbao,2007-12-03,22:32:02,Blanco,N-637,15,13,Barakaldo,-2.925991,43.28567
,2007-12-03,22:32:02,Blanco,N-637,15,13,Barakaldo,-2.925991,43.28567
,2007-12-03,22:12:34,Blanco,N-634,79,79,SANTANDER,-2.610086,43.17115
,2007-12-03,09:26:43,Blanco,AP-68,20,20,BILBAO,-2.915015,43.08647
,2007-12-03,09:26:43,Blanco,AP-68,20,20,BILBAO,-2.915015,43.08647
,2007-12-03,09:26:43,Blanco,AP-68,20,20,BILBAO,-2.915015,43.08647
Derio,2007-12-02,22:47:55,Blanco,N-637,18,15,Barakaldo,-2.892505,43.28646
Iurreta,2007-12-02,22:30:08,Blanco,N-634,81,81,DONOSTIA/SAN SEBASTIN,-2.632954,43.17525
Derio,2007-12-02,22:47:55,Blanco,N-637,18,16,Barakaldo,-2.892505,43.28646
,2007-12-02,22:30:08,Blanco,N-634,81,81,DONOSTIA/SAN SEBASTIN,-2.632954,43.17525
Amorebieta-Etxano,2007-11-30,21:37:26,Blanco,A-8,93,97,CANTABRIA,-2.69229,43.19591
Amorebieta-Etxano,2007-11-30,21:37:26,Blanco,A-8,93,97,CANTABRIA,-2.69229,43.19591
Amorebieta-Etxano,2007-11-30,21:37:26,Blanco,A-8,93,97,CANTABRIA,-2.69229,43.19591
Orozko,2007-11-30,09:35:30,Blanco,AP-68,22,22,ZARAGOZA,-2.924322,43.0709
Orozko,2007-11-30,09:35:30,Blanco,AP-68,22,22,ZARAGOZA,-2.924322,43.0709
Orozko,2007-11-30,09:35:30,Blanco,AP-68,22,22,ZARAGOZA,-2.924322,43.0709
Barakaldo,2007-11-29,23:58:43,Blanco,N-634,118,118,SANTANDER,-2.983428,43.28587
Barakaldo,2007-11-29,23:57:55,Blanco,N-634,118,118,DONOSTIA/SAN SEBASTIN,-2.983428,43.28587
,2007-11-29,23:58:43,Blanco,N-634,118,118,SANTANDER,-2.983428,43.28587
,2007-11-29,23:57:55,Blanco,N-634,118,118,DONOSTIA/SAN SEBASTIN,-2.983428,43.28587
Barakaldo,2007-11-29,23:56:44,Blanco,N-637,9,9,Barakaldo,-2.985246,43.29098
Barakaldo,2007-11-29,23:54:50,Blanco,A-8,122,122,CANTABRIA,-2.985859,43.28236
Barakaldo,2007-11-29,23:53:41,Blanco,A-8,124,124,IRUN,-3.005,43.28859
Bilbao,2007-11-29,23:24:10,Blanco,A-8,117,117,CANTABRIA,-2.94514,43.25163
Amorebieta-Etxano,2007-11-29,21:01:34,Blanco,A-8,97,93,IRUN,-2.72596,43.2192
Bilbao,2007-11-29,22:44:00,Blanco,A-8,111,113,CANTABRIA,-2.883459,43.231
Muskiz,2007-11-29,21:35:11,Blanco,A-8,135,135,IRUN,-3.10594,43.33829
Muskiz,2007-11-29,21:35:11,Blanco,A-8,135,135,IRUN,-3.10594,43.33829
,2007-11-29,21:01:34,Blanco,A-8,93,97,IRUN,-2.69249,43.19597
,2007-11-29,21:01:34,Blanco,A-8,93,97,IRUN,-2.69249,43.19597
,2007-11-29,21:01:34,Blanco,A-8,93,97,IRUN,-2.69249,43.19597
Orozko,2007-11-29,09:18:42,Blanco,AP-68,21,21,BILBAO,-2.91702,43.07784
Basauri,2007-11-28,22:48:08,Blanco,A-8,111,112,CANTABRIA,-2.883459,43.231
Bilbao,2007-11-28,23:12:51,Blanco,A-8,117,117,CANTABRIA,-2.94514,43.25163
Amorebieta-Etxano,2007-11-28,21:00:45,Blanco,A-8,97,93,IRUN,-2.72596,43.2192
Basauri,2007-11-28,22:48:08,Blanco,A-8,111,112,CANTABRIA,-2.883459,43.231
,2007-11-28,21:00:45,Blanco,A-8,97,93,CANTABRIA,-2.7257,43.21909
,2007-11-28,21:00:45,Blanco,A-8,97,93,CANTABRIA,-2.7257,43.21909
,2007-11-28,21:00:45,Blanco,A-8,97,93,CANTABRIA,-2.7257,43.21909
Orozko,2007-11-28,08:38:58,Blanco,AP-68,21,21,BILBAO,-2.91702,43.07784
Bilbao,2007-11-27,23:12:47,Blanco,A-8,120,120,CANTABRIA,-2.9675,43.27193
Bilbao,2007-11-27,23:09:30,Blanco,BI-604,3,3,BILBAO,-2.948006,43.27291
Amorebieta-Etxano,2007-11-27,21:15:17,Blanco,A-8,93,97,CANTABRIA,-2.69229,43.19591
Amorebieta-Etxano,2007-11-27,21:15:17,Blanco,A-8,93,97,CANTABRIA,-2.69229,43.19591
,2007-11-27,21:15:17,Blanco,A-8,93,97,CANTABRIA,-2.69229,43.19591
Bilbao,2007-11-27,23:12:47,Blanco,A-8,120,120,CANTABRIA,-2.9675,43.27193
Bilbao,2007-11-27,23:09:30,Blanco,BI-604,3,3,BILBAO,-2.948006,43.27291
,2007-11-27,21:15:17,Blanco,A-8,93,97,CANTABRIA,-2.69229,43.19591
,2007-11-27,11:27:38,Blanco,AP-68,21,21,ZARAGOZA,-2.917043,43.07817
,2007-11-27,09:05:05,,AP-68,21,21,BILBAO,-2.91702,43.07784
,2007-11-27,09:03:32,Blanco,AP-68,19,19,ZARAGOZA,-2.918679,43.09521
Orozko,2007-11-26,09:57:29,Blanco,AP-68,21,21,BILBAO,-2.91702,43.07784
Santurtzi,2007-11-26,00:28:10,Blanco,N-644,131,131,Santurtzi,-3.047644,43.3378
Zaldibar,2007-11-23,22:35:37,Blanco,A-8,77,75,IRUN,-2.51322,43.17495
Zaldibar,2007-11-23,22:35:37,Blanco,A-8,77,75,IRUN,-2.51322,43.17495
Zaldibar,2007-11-23,22:35:37,Blanco,A-8,77,75,IRUN,-2.51322,43.17495
Zaldibar,2007-11-23,22:35:37,Blanco,A-8,77,75,IRUN,-2.51322,43.17495
Zaldibar,2007-11-23,22:35:37,Blanco,A-8,77,75,IRUN,-2.51322,43.17495
Zaldibar,2007-11-23,22:34:20,Blanco,A-8,75,77,CANTABRIA,-2.49115,43.1774
Muskiz,2007-11-23,08:04:37,Blanco,A-8,134,134,IRUN,-3.09974,43.33071
Bilbao,2007-11-23,00:14:05,Blanco,A-8,117,117,CANTABRIA,-2.94514,43.25163
Santurtzi,2007-11-22,20:48:39,Blanco,N-644,130,130,Bilbao,-3.04283,43.32948
Santurtzi,2007-11-22,20:47:19,Blanco,N-644,130,130,Santurtzi,-3.04264,43.32942
Amorebieta-Etxano,2007-11-22,21:03:02,Blanco,A-8,98,101,CANTABRIA,-2.7329,43.22445
Amorebieta-Etxano,2007-11-22,21:04:34,Blanco,A-8,101,98,IRUN,-2.76907,43.23126
Amorebieta-Etxano,2007-11-22,21:04:34,Blanco,A-8,101,98,IRUN,-2.76907,43.23126
Amorebieta-Etxano,2007-11-22,21:03:02,Blanco,A-8,98,101,CANTABRIA,-2.7329,43.22445
Amorebieta-Etxano,2007-11-22,21:03:02,Blanco,A-8,98,101,IRUN,-2.73324,43.22437
Santurtzi,2007-11-22,20:48:39,Blanco,N-644,130,130,Bilbao,-3.04283,43.32948
Santurtzi,2007-11-22,20:47:19,Negro,N-644,130,130,Santurtzi,-3.04264,43.32942
Orozko,2007-11-22,08:34:19,Blanco,AP-68,20,20,BILBAO,-2.915015,43.08647
,2007-11-22,10:37:06,Blanco,AP-68,22,22,ZARAGOZA,-2.924322,43.0709
,2007-11-22,08:34:19,Blanco,AP-68,20,20,BILBAO,-2.915015,43.08647
,2007-11-22,10:37:06,Blanco,AP-68,22,22,ZARAGOZA,-2.924322,43.0709
,2007-11-22,08:34:19,Blanco,AP-68,20,20,BILBAO,-2.915015,43.08647
Barakaldo,2007-11-21,23:41:34,Blanco,A-8,120,120,CANTABRIA,-2.9675,43.27193
Barakaldo,2007-11-21,23:41:34,Blanco,A-8,120,120,CANTABRIA,-2.9675,43.27193
Santurtzi,2007-11-21,21:11:15,Blanco,N-644,131,131,Bilbao,-3.047636,43.33763
Amorebieta-Etxano,2007-11-21,21:08:47,Blanco,A-8,101,99,IRUN,-2.76907,43.23126
Amorebieta-Etxano,2007-11-21,21:07:28,Blanco,A-8,99,101,CANTABRIA,-2.74575,43.22793
Orozko,2007-11-21,09:13:55,Blanco,AP-68,21,21,BILBAO,-2.91702,43.07784
,2007-11-21,09:13:55,Blanco,AP-68,21,21,BILBAO,-2.91702,43.07784
,2007-11-21,10:27:25,Blanco,AP-68,13,13,ZARAGOZA,-2.93714,43.14311
,2007-11-21,09:13:55,Blanco,AP-68,21,21,BILBAO,-2.91702,43.07784
Getxo,2007-11-20,22:52:24,Amarillo,BI-637,14,14,KUKULARRA,-2.999062,43.33758
Getxo,2007-11-20,22:52:24,Amarillo,BI-637,14,14,KUKULARRA,-2.999062,43.33758
Getxo,2007-11-20,22:52:24,Amarillo,BI-637,14,14,KUKULARRA,-2.999062,43.33758
Amorebieta-Etxano,2007-11-20,21:33:28,Blanco,A-8,100,98,IRUN,-2.75568,43.23077
Amorebieta-Etxano,2007-11-20,21:31:39,Blanco,A-8,98,100,CANTABRIA,-2.7329,43.22445
Amorebieta-Etxano,2007-11-20,21:33:28,Blanco,A-8,100,98,IRUN,-2.75568,43.23077
Amorebieta-Etxano,2007-11-20,21:31:39,Blanco,A-8,98,100,CANTABRIA,-2.7329,43.22445
Galdakao,2007-11-20,10:02:23,Blanco,A-8,107,107,CANTABRIA,-2.838,43.23188
Arrigorriaga,2007-11-20,09:16:58,Blanco,AP-68,12,12,BILBAO,-2.937925,43.15139
Orozko,2007-11-20,08:22:56,Blanco,AP-68,21,21,BILBAO,-2.91702,43.07784
Orozko,2007-11-20,08:22:56,Blanco,AP-68,21,21,BILBAO,-2.91702,43.07784
,2007-11-20,10:40:04,Blanco,A-8,126,126,CANTABRIA,-3.02221,43.30038
Arrigorriaga,2007-11-20,09:16:58,Blanco,AP-68,12,12,BILBAO,-2.937925,43.15139
,2007-11-20,08:51:57,Blanco,AP-68,19,19,ZARAGOZA,-2.918679,43.09521
,2007-11-20,08:51:57,Blanco,AP-68,19,19,ZARAGOZA,-2.918679,43.09521
,2007-11-20,08:22:56,Blanco,AP-68,21,21,BILBAO,-2.91702,43.07784
Barakaldo,2007-11-20,00:48:10,Amarillo,A-8,123,123,IRUN,-2.99417,43.28436
Amorebieta-Etxano,2007-11-19,23:09:33,Amarillo,A-8,101,97,IRUN,-2.76907,43.23126
Amorebieta-Etxano,2007-11-19,23:09:33,Amarillo,A-8,101,97,IRUN,-2.76907,43.23126
Bilbao,2007-11-19,17:12:15,Amarillo,N-634,114,114,SANTANDER,-2.95148,43.25896
Gordexola,2007-11-19,10:28:21,Blanco,BI-636,17,17,CADAGUA,-3.05277,43.19161
Gordexola,2007-11-19,10:28:21,Blanco,BI-636,17,17,CADAGUA,-3.05277,43.19161
,2007-11-19,09:27:02,Blanco,AP-68,21,21,BILBAO,-2.91702,43.07784
Santurtzi,2007-11-18,23:26:10,Blanco,N-644,131,131,Santurtzi,-3.047644,43.3378
Ermua,2007-11-16,23:21:57,Amarillo,A-8,77,75,IRUN,-2.51322,43.17495
Ermua,2007-11-16,23:22:38,Amarillo,A-8,75,77,CANTABRIA,-2.49115,43.1774
Ermua,2007-11-16,23:21:57,Amarillo,A-8,77,75,IRUN,-2.51322,43.17495
Ermua,2007-11-16,23:22:38,Amarillo,A-8,75,77,CANTABRIA,-2.49115,43.1774
Ermua,2007-11-16,23:21:57,Amarillo,A-8,77,75,IRUN,-2.51322,43.17495
Ermua,2007-11-16,23:22:38,Amarillo,A-8,75,77,CANTABRIA,-2.49115,43.1774
Ermua,2007-11-16,23:22:38,Amarillo,A-8,75,77,CANTABRIA,-2.49115,43.1774
Ermua,2007-11-16,23:21:57,Amarillo,A-8,77,75,IRUN,-2.51322,43.17495
Portugalete,2007-11-16,09:16:24,Blanco,A-8,126,126,CANTABRIA,-3.02221,43.30038
Portugalete,2007-11-16,09:16:24,Blanco,A-8,126,126,CANTABRIA,-3.02221,43.30038
Portugalete,2007-11-16,09:16:24,Blanco,A-8,126,126,CANTABRIA,-3.02221,43.30038
,2007-11-15,23:26:50,Amarillo,A-8,128,128,IRUN,-3.037419,43.31242
Galdakao,2007-11-15,22:24:39,Amarillo,A-8,97,102,CANTABRIA,-2.7257,43.21909
Galdakao,2007-11-15,22:32:56,Amarillo,A-8,102,97,IRUN,-2.78204,43.23156
Galdakao,2007-11-15,22:24:39,Amarillo,A-8,97,102,CANTABRIA,-2.7257,43.21909
,2007-11-14,10:11:03,Blanco,N-240,34,34,VITORIA-GASTEIZ,-2.737764,43.08524
Balmaseda,2007-11-14,09:56:18,Blanco,BI-636,17,17,BILBAO,-3.05277,43.19161
Balmaseda,2007-11-14,09:56:18,Blanco,BI-636,17,17,BILBAO,-3.05277,43.19161
Berriz,2007-11-14,11:09:34,Blanco,A-8,75,75,CANTABRIA,-2.49115,43.1774
,2007-11-14,10:11:03,Blanco,N-240,34,34,VITORIA-GASTEIZ,-2.737764,43.08524
Balmaseda,2007-11-14,09:56:18,Blanco,BI-636,17,17,CADAGUA,-3.05277,43.19161
,2007-11-14,09:56:18,Blanco,BI-636,17,17,CADAGUA,-3.05277,43.19161
,2007-11-14,08:50:08,Blanco,AP-68,21,21,BILBAO,-2.91702,43.07784
Zaldibar,2007-11-13,11:50:03,Blanco,A-8,84,84,CANTABRIA,-2.59282,43.16823
,2007-11-13,09:25:08,Blanco,BI-4675,53,53,PAULES (CARRANZA),-3.34634,43.24146
