poblacion,fecha,hora,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud
Erandio,2006-12-13,11:00:40,Blanco,N-637,12,12,ERLETXE ( por PTE. RONTEGI),-2.95528,43.29934
,2006-12-13,08:55:58,Blanco,AP-68,15,33,ZARAGOZA,-2.923842,43.1286
Orozko,2006-12-13,08:55:58,Blanco,AP-68,21,21,ZARAGOZA,-2.917043,43.07817
Galdakao,2006-12-12,21:49:33,Blanco,N-634,103,103,DONOSTIA/SAN SEBASTIN,-2.861065,43.23255
Galdakao,2006-12-12,21:49:33,Blanco,N-634,103,103,DONOSTIA/SAN SEBASTIN,-2.861065,43.23255
Bilbao,2006-12-12,22:51:17,Blanco,A-8,118,118,IRUN,-2.95362,43.2578
Basauri,2006-12-12,21:20:28,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378
,2006-12-12,21:49:33,Blanco,N-634,103,103,DONOSTIA/SAN SEBASTIN,-2.861065,43.23255
Basauri,2006-12-12,21:20:28,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378
Alonsotegi,2006-12-12,11:28:26,Negro,BI-636,9,9,BILBAO,-2.993629,43.24061
Alonsotegi,2006-12-12,11:28:26,,BI-636,9,9,BILBAO,-2.993629,43.24061
Alonsotegi,2006-12-12,11:28:26,Negro,BI-636,9,9,BILBAO,-2.993629,43.24061
Arrankudiaga,2006-12-12,11:01:54,Blanco,AP-68,10,10,BILBAO,-2.920572,43.16348
,2006-12-12,06:59:41,Amarillo,AP-68,12,12,BILBAO,-2.937925,43.15139
Bilbao,2006-12-11,22:38:45,Blanco,A-8,118,118,IRUN,-2.95362,43.2578
Basauri,2006-12-11,21:22:27,Blanco,A-8,111,113,IRUN,-2.88343,43.2309
Bilbao,2006-12-11,22:38:45,Blanco,A-8,118,118,IRUN,-2.95362,43.2578
Basauri,2006-12-11,21:22:27,Blanco,A-8,113,113,IRUN,-2.90804,43.23352
Galdakao,2006-12-11,21:42:44,Blanco,N-634,103,103,DONOSTIA/SAN SEBASTIN,-2.861065,43.23255
Basauri,2006-12-11,21:22:27,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378
